model_path,HW,CIN,COUT,KERNEL_SIZE,POOL_STRIDES,latency
avgpool_prior_3GB3U7.pt,56,501,501,2,2,0.36535253999999995
avgpool_prior_WE5X8G.pt,14,493,493,2,2,0.16330721999999995
avgpool_prior_2839OT.pt,112,134,134,3,2,1.2269914199999996
avgpool_prior_874LQD.pt,28,72,72,3,2,0.12970045999999993
avgpool_prior_6H5BEU.pt,28,242,242,2,2,0.30814794
avgpool_prior_CXK0MF.pt,28,83,83,2,2,0.13036736000000002
avgpool_prior_HH4OZN.pt,224,71,71,2,2,1.2203997799999997
avgpool_prior_ACFIZY.pt,56,149,149,3,2,0.56300568
avgpool_prior_M84VGB.pt,112,204,204,2,2,1.16688024
avgpool_prior_9A4RSG.pt,28,63,63,2,1,0.3631395
avgpool_prior_0E1EES.pt,14,128,128,3,2,0.13032908
avgpool_prior_YHVPZL.pt,14,512,512,2,2,0.24385470000000006
avgpool_prior_HA8RT4.pt,14,507,507,3,2,0.26253534
avgpool_prior_UUUAN9.pt,56,1032,1032,3,2,1.3560748800000004
avgpool_prior_12I5QK.pt,28,55,55,2,2,0.15496856000000003
avgpool_prior_DNNY2X.pt,56,241,241,2,2,0.8889839200000001
avgpool_prior_9OP46R.pt,28,40,40,2,2,0.10333924
avgpool_prior_MRXCKC.pt,112,142,142,2,2,1.30857156
avgpool_prior_3APUU1.pt,14,52,52,3,2,0.08596973999999999
avgpool_prior_UV91AH.pt,14,194,194,3,1,0.26927777999999997
avgpool_prior_ZA6W7Q.pt,112,507,507,3,2,1.7357191600000001
avgpool_prior_VYSMEU.pt,14,54,54,3,1,0.16792343999999995
avgpool_prior_10G8O6.pt,112,1035,1035,3,2,2.922062600000001
avgpool_prior_KAFDV4.pt,28,142,142,2,2,0.17141241999999998
avgpool_prior_PWSVZ8.pt,224,201,201,2,2,2.1485553399999997
avgpool_prior_RPUTQX.pt,112,68,68,3,2,0.9171560400000002
avgpool_prior_3QJQ9H.pt,14,498,498,3,1,0.4923588199999998
avgpool_prior_WZQSQT.pt,28,252,252,2,1,0.92177932
avgpool_prior_BM9345.pt,28,503,503,2,2,0.5218853200000002
avgpool_prior_WHG4KZ.pt,14,1045,1045,3,2,0.26485140000000007
