model_path,HW,CIN,latency
se_prior_454ZH0.pt,7,258,0.0390575
se_prior_EED1LI.pt,56,256,0.14557604000000002
se_prior_HVSZZW.pt,28,1922,0.38760492000000013
se_prior_OJBK9N.pt,14,1770,0.18061638000000002
se_prior_O0D83W.pt,1,444,0.08713767999999998
se_prior_S244TZ.pt,14,150,0.035863919999999994
se_prior_7Z3B25.pt,14,188,0.10048676000000001
se_prior_SV46QW.pt,3,690,0.09614503999999999
se_prior_3ODB1P.pt,28,268,0.1927649
se_prior_52Z9VS.pt,3,854,0.09884333999999999
se_prior_7AOAND.pt,28,248,0.1142955
se_prior_DHR4KH.pt,3,490,0.09458724
se_prior_FNKD2I.pt,28,12,0.022597340000000004
se_prior_QGLK15.pt,56,182,0.12834795999999998
se_prior_45HY59.pt,28,466,0.13312614
se_prior_INXPK7.pt,28,262,0.11649344000000003
se_prior_0HP9UZ.pt,56,676,0.25645858
se_prior_A5TO6J.pt,14,30,0.023672179999999998
se_prior_URWZG3.pt,28,144,0.08725641999999999
se_prior_OMDK4C.pt,28,4,0.021107619999999994
se_prior_LV5C2S.pt,14,506,0.11204357999999996
se_prior_UFEZCY.pt,224,64,0.6404308199999998
se_prior_SIOWAX.pt,14,668,0.1791379
se_prior_HUEZBW.pt,14,1260,0.15740106
se_prior_M4KU8F.pt,7,656,0.12564028000000005
se_prior_8WKBUB.pt,28,204,0.09956622000000001
se_prior_7YIMG1.pt,7,98,0.02647822
se_prior_HPTTWL.pt,28,514,0.13002908000000005
se_prior_GPU340.pt,224,992,22.455778059999993
se_prior_NO8WO2.pt,28,492,0.14891554000000007
se_prior_5XBAV7.pt,112,68,0.12326649999999999
se_prior_562SI5.pt,14,102,0.031180399999999994
se_prior_8JSSFA.pt,112,480,1.73581124
se_prior_1PZ7VU.pt,28,172,0.29650364
se_prior_6M1I0F.pt,56,92,0.09894831999999999
se_prior_EN96Y9.pt,112,408,1.7138101000000001
se_prior_R4TJ9A.pt,14,484,0.11841837999999999
se_prior_O85F61.pt,14,182,0.09962710000000001
se_prior_FHYGXV.pt,56,104,0.11555844000000003
se_prior_77D3NX.pt,14,78,0.027641040000000006
se_prior_MQSKB5.pt,56,186,0.1582886
se_prior_C9PTCM.pt,112,106,0.16537188
se_prior_YQ6806.pt,14,36,0.02397392
se_prior_9M9TSN.pt,28,228,0.11863958000000005
se_prior_AIRDZI.pt,56,16,0.08767297999999998
se_prior_XYMN5H.pt,14,116,0.033219200000000004
se_prior_5WAWWH.pt,14,12,0.021759919999999995
se_prior_5PTG23.pt,28,210,0.11204702
se_prior_MTNSUT.pt,112,678,2.9778453799999998
se_prior_DR3STT.pt,56,28,0.07681488000000003
se_prior_4ZOG9C.pt,7,1034,0.08442400000000003
se_prior_6WVECA.pt,56,406,0.18596764
se_prior_VN6J8U.pt,14,652,0.11537182
se_prior_UV44FO.pt,7,260,0.07246155999999998
se_prior_9S2JK5.pt,28,160,0.09288823999999998
se_prior_A5PHBA.pt,7,836,0.11739827999999998
se_prior_THJ2IM.pt,56,518,0.19974571999999996
se_prior_XUBRSX.pt,14,76,0.028599259999999998
se_prior_I9RBNI.pt,14,182,0.09891944000000004
se_prior_N812CO.pt,28,158,0.09795276
se_prior_2RJL09.pt,28,86,0.07945748
se_prior_0L4AED.pt,14,30,0.023385799999999998
se_prior_PIZ6P7.pt,112,252,0.45001042000000013
se_prior_KYYOSQ.pt,3,668,0.15227564000000002
se_prior_LP4UIV.pt,14,98,0.03054036
se_prior_0AOZXK.pt,3,982,0.10341509999999998
se_prior_FQTVK9.pt,112,488,1.5870721199999998
se_prior_KU5HX6.pt,14,66,0.02767421999999999
se_prior_04RAPM.pt,28,172,0.10610613999999996
se_prior_QNK1K8.pt,1,492,0.08097767999999998
se_prior_U8RQ8V.pt,28,150,0.09823702000000002
se_prior_BICGFR.pt,14,210,0.10842682000000002
se_prior_CHHH4W.pt,14,80,0.028693600000000003
se_prior_O3MYI7.pt,56,984,1.1589127000000001
se_prior_Q5QPLE.pt,112,212,0.33146458
