model_path,HW,CIN,COUT,KERNEL_SIZE,STRIDES,feature_0,feature_1,latency
dwconv-bn-relu_prior_ZRU404.pt,7,15,15,3,2,0.0018375,0.00015,0.07504453999999998
dwconv-bn-relu_prior_G1D4NB.pt,7,21,21,3,2,0.0025725,0.00021,0.12977664000000003
dwconv-bn-relu_prior_BDOSPG.pt,7,11,11,5,2,0.0035035,0.000286,0.12448736
dwconv-bn-relu_prior_ARBH0F.pt,7,46,46,3,2,0.005635,0.00046,0.14002389999999998
dwconv-bn-relu_prior_4F45PD.pt,7,18,18,5,2,0.005733,0.000468,0.13375365999999997
dwconv-bn-relu_prior_JZB36O.pt,7,47,47,3,2,0.0057575,0.00047,0.12395615999999998
dwconv-bn-relu_prior_DHD9C8.pt,7,13,13,3,1,0.00637,0.00013,0.11578810000000002
dwconv-bn-relu_prior_XBV13U.pt,7,52,52,3,2,0.00637,0.00052,0.13370729999999997
dwconv-bn-relu_prior_STVR77.pt,7,65,65,3,2,0.0079625,0.00065,0.12990590000000002
dwconv-bn-relu_prior_C4S15V.pt,7,18,18,3,1,0.00882,0.00018,0.18629060000000003
dwconv-bn-relu_prior_0V45I0.pt,7,19,19,3,1,0.00931,0.00019,0.21334925999999996
dwconv-bn-relu_prior_MPHX34.pt,7,81,81,3,2,0.0099225,0.00081,0.11672462000000002
dwconv-bn-relu_prior_73MADS.pt,7,24,24,3,1,0.01176,0.00024,0.13810276000000002
dwconv-bn-relu_prior_CM3RVI.pt,7,106,106,3,2,0.012985,0.00106,0.12793698000000003
dwconv-bn-relu_prior_2OAGBV.pt,7,27,27,3,1,0.01323,0.00027,0.13687044
dwconv-bn-relu_prior_P0FTFF.pt,7,42,42,5,2,0.013377,0.001092,0.13446292000000004
dwconv-bn-relu_prior_79KU2O.pt,7,11,11,5,1,0.014014,0.000286,0.11368631999999998
dwconv-bn-relu_prior_72HTUQ.pt,7,29,29,3,1,0.01421,0.00029,0.12960310000000003
dwconv-bn-relu_prior_59DMK9.pt,7,118,118,3,2,0.014455,0.00118,0.13255213999999998
dwconv-bn-relu_prior_ZGAG2Y.pt,7,30,30,3,1,0.0147,0.0003,0.1314859
dwconv-bn-relu_prior_1IJUZB.pt,7,32,32,3,1,0.01568,0.00032,0.30611408
dwconv-bn-relu_prior_ZFNA4H.pt,7,13,13,5,1,0.016562,0.000338,0.11645916000000002
dwconv-bn-relu_prior_8CGCP0.pt,7,14,14,5,1,0.017836,0.000364,0.11737442
dwconv-bn-relu_prior_LXME3Z.pt,7,37,37,3,1,0.01813,0.00037,0.13292295999999995
dwconv-bn-relu_prior_YTD2JI.pt,7,57,57,5,2,0.0181545,0.001482,0.13780911999999998
dwconv-bn-relu_prior_8X5UQY.pt,7,39,39,3,1,0.01911,0.00039,0.13883531999999998
dwconv-bn-relu_prior_RJRQP7.pt,14,39,39,3,2,0.01911,0.00039,0.14019115999999998
dwconv-bn-relu_prior_NK25M2.pt,7,40,40,3,1,0.0196,0.0004,0.14945513999999996
