model_path,CIN,COUT,feature_0,feature_1,latency
fc_prior_155K8O.pt,523,1000,0.5235,1.047,0.010078680000000001
fc_prior_45LEYE.pt,525,1000,0.5255,1.051,0.0096693
fc_prior_LRK700.pt,533,1000,0.5335,1.067,0.06022191999999998
fc_prior_D9A4I6.pt,534,1000,0.5345,1.069,0.009604539999999996
fc_prior_DIV7AC.pt,547,1000,0.5475,1.095,0.06002156000000001
fc_prior_CTN5HZ.pt,548,1000,0.5485,1.097,0.009483479999999999
fc_prior_0NB660.pt,553,1000,0.5535,1.107,0.06098702000000001
fc_prior_GV3UHA.pt,554,1000,0.5545,1.109,0.06058937999999998
fc_prior_1CPA9Q.pt,554,1000,0.5545,1.109,0.009787940000000002
fc_prior_QI6PCT.pt,557,1000,0.5575,1.115,0.00946222
fc_prior_J51GG8.pt,560,1000,0.5605,1.121,0.0094215
fc_prior_GGMEO5.pt,560,1000,0.5605,1.121,0.009461840000000003
fc_prior_48Z7B5.pt,569,1000,0.5695,1.139,0.009838020000000001
fc_prior_CUOEOW.pt,570,1000,0.5705,1.141,0.05210002000000001
fc_prior_B6DOEG.pt,570,1000,0.5705,1.141,0.009734819999999998
fc_prior_732XPQ.pt,572,1000,0.5725,1.145,0.06141406
fc_prior_JC3TVY.pt,573,1000,0.5735,1.147,0.009512759999999999
fc_prior_SBYLM2.pt,573,1000,0.5735,1.147,0.00958078
fc_prior_064S24.pt,578,1000,0.5785,1.157,0.060244559999999996
fc_prior_W32QOW.pt,578,1000,0.5785,1.157,0.0096715
fc_prior_DTKZEJ.pt,578,1000,0.5785,1.157,0.009475099999999998
fc_prior_ZT442Q.pt,580,1000,0.5805,1.161,0.009654840000000001
fc_prior_NI6606.pt,582,1000,0.5825,1.165,0.0616013
fc_prior_QLMZOM.pt,590,1000,0.5905,1.181,0.06017588
fc_prior_1PKZK3.pt,598,1000,0.5985,1.197,0.00956624
fc_prior_CO5U4B.pt,598,1000,0.5985,1.197,0.009523720000000003
fc_prior_0KTCA2.pt,600,1000,0.6005,1.201,0.02321495999999999
fc_prior_LF1GQR.pt,602,1000,0.6025,1.205,0.00951976
fc_prior_3FLTHA.pt,603,1000,0.6035,1.207,0.009505540000000002
